b_client_ignore_antiflood;1;0;0;75
b_client_issue_client_query_command;1;0;0;75
b_client_use_reserved_slot;1;0;0;75
b_client_use_channel_commander;1;0;0;75
b_ft_ignore_password;1;0;0;75
i_ft_file_upload_power;75;0;0;75
i_ft_file_download_power;75;0;0;75
i_ft_file_delete_power;75;0;0;75
i_ft_file_rename_power;75;0;0;75
i_ft_file_browse_power;75;0;0;75
i_ft_directory_create_power;75;0;0;75
i_ft_quota_mb_download_per_client;-1;0;0;75
i_ft_quota_mb_upload_per_client;-1;0;0;75
